Detailed Statistics Cancellation  
Origin Airport: Washington, DC: Washington Dulles International (IAD)
Airline: United Airlines Inc. (UA)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2024

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"UA","01/06/2024","1366","N780UA","DEN"
"UA","01/06/2024","1469","","BDL"
"UA","01/06/2024","1812","","IAH"
"UA","01/06/2024","2023","","SJU"
"UA","01/07/2024","0493","","PBI"
"UA","01/07/2024","0632","","LAX"
"UA","01/07/2024","0675","","DEN"
"UA","01/07/2024","0717","","BTV"
"UA","01/07/2024","1709","","BOS"
"UA","01/07/2024","1809","","FLL"
"UA","01/07/2024","2021","","SJU"
"UA","01/07/2024","2268","","MCO"
"UA","01/07/2024","2276","","LAX"
"UA","01/07/2024","2642","","ATL"
"UA","01/08/2024","0381","","AUS"
"UA","01/08/2024","0632","","LAX"
"UA","01/08/2024","0689","","MCO"
"UA","01/08/2024","1027","","EWR"
"UA","01/08/2024","1073","","MIA"
"UA","01/08/2024","1493","","DEN"
"UA","01/08/2024","1709","","BOS"
"UA","01/08/2024","1738","","LAX"
"UA","01/08/2024","1873","","BNA"
"UA","01/08/2024","1940","","ATL"
"UA","01/08/2024","2021","","SJU"
"UA","01/08/2024","2074","","DEN"
"UA","01/08/2024","2169","","ORD"
"UA","01/08/2024","2172","","SFO"
"UA","01/08/2024","2187","","SAN"
"UA","01/08/2024","2268","","MCO"
"UA","01/09/2024","1218","","SFO"
"UA","01/09/2024","1398","","DEN"
"UA","01/09/2024","1493","","DEN"
"UA","01/09/2024","1689","","LAX"
"UA","01/09/2024","1842","","DEN"
"UA","01/09/2024","2029","","SAN"
"UA","01/09/2024","2169","","ORD"
"UA","01/09/2024","2187","","SAN"
"UA","01/09/2024","2642","","ATL"
"UA","01/09/2024","2671","","SAT"
"UA","01/10/2024","0381","","AUS"
"UA","01/10/2024","1110","","SFO"
"UA","01/10/2024","1218","","SFO"
"UA","01/10/2024","1398","","DEN"
"UA","01/10/2024","1499","","MCO"
"UA","01/10/2024","2029","","SAN"
"UA","01/10/2024","2187","","SAN"
"UA","01/10/2024","2671","","SAT"
"UA","01/11/2024","0326","","SEA"
"UA","01/11/2024","0635","","MCO"
"UA","01/11/2024","0641","","BOS"
"UA","01/11/2024","1110","","SFO"
"UA","01/11/2024","1398","","DEN"
"UA","01/11/2024","1712","","SAN"
"UA","01/11/2024","1938","","PHX"
"UA","01/11/2024","2074","","DEN"
"UA","01/11/2024","2098","","MCO"
"UA","01/11/2024","2671","","SAT"
"UA","01/12/2024","0635","","MCO"
"UA","01/12/2024","0641","","BOS"
"UA","01/12/2024","1110","","SFO"
"UA","01/12/2024","1499","","MCO"
"UA","01/12/2024","1689","","LAX"
"UA","01/12/2024","1712","","SAN"
"UA","01/12/2024","1842","","DEN"
"UA","01/12/2024","1930","","SAN"
"UA","01/12/2024","1938","","PHX"
"UA","01/12/2024","2187","","SAN"
"UA","01/12/2024","2303","","LAX"
"UA","01/12/2024","2671","","SAT"
"UA","01/13/2024","0326","","SEA"
"UA","01/13/2024","0507","","EWR"
"UA","01/13/2024","0635","","MCO"
"UA","01/13/2024","0641","","BOS"
"UA","01/13/2024","1360","","RSW"
"UA","01/13/2024","1398","","DEN"
"UA","01/13/2024","2029","","SAN"
"UA","01/13/2024","2098","","MCO"
"UA","01/13/2024","2253","","MSY"
"UA","01/13/2024","2497","","ORD"
"UA","01/14/2024","0326","","SEA"
"UA","01/14/2024","0641","","BOS"
"UA","01/14/2024","1073","","MIA"
"UA","01/14/2024","1110","","SFO"
"UA","01/14/2024","1218","","SFO"
"UA","01/14/2024","1398","","DEN"
"UA","01/14/2024","1406","","RSW"
"UA","01/14/2024","1412","","CLT"
"UA","01/15/2024","0326","","SEA"
"UA","01/15/2024","0381","","AUS"
"UA","01/15/2024","0506","","BNA"
"UA","01/15/2024","0641","","BOS"
"UA","01/15/2024","1073","","MIA"
"UA","01/15/2024","1110","","SFO"
"UA","01/15/2024","1193","","IAH"
"UA","01/15/2024","1689","","LAX"
"UA","01/15/2024","1812","","IAH"
"UA","01/15/2024","1938","","PHX"
"UA","01/15/2024","2029","","SAN"
"UA","01/15/2024","2187","","SAN"
"UA","01/15/2024","2303","","LAX"
"UA","01/16/2024","0381","","AUS"
"UA","01/16/2024","0506","","BNA"
"UA","01/16/2024","0507","","EWR"
"UA","01/16/2024","0641","","BOS"
"UA","01/16/2024","1218","","SFO"
"UA","01/16/2024","1360","","RSW"
"UA","01/16/2024","1398","","DEN"
"UA","01/16/2024","1938","","PHX"
"UA","01/16/2024","2074","","DEN"
"UA","01/16/2024","2187","","SAN"
"UA","01/16/2024","2253","","MSY"
"UA","01/16/2024","2314","","DFW"
"UA","01/17/2024","0326","","SEA"
"UA","01/17/2024","1110","","SFO"
"UA","01/17/2024","1218","","SFO"
"UA","01/17/2024","1689","","LAX"
"UA","01/17/2024","1809","","FLL"
"UA","01/17/2024","1938","","PHX"
"UA","01/17/2024","2253","","MSY"
"UA","01/17/2024","2277","","TPA"
"UA","01/17/2024","2671","","SAT"
"UA","01/18/2024","0326","","SEA"
"UA","01/18/2024","0506","","BNA"
"UA","01/18/2024","1110","","SFO"
"UA","01/18/2024","1218","","SFO"
"UA","01/18/2024","1499","","MCO"
"UA","01/18/2024","1875","","LAS"
"UA","01/18/2024","1938","","PHX"
"UA","01/18/2024","2029","","SAN"
"UA","01/18/2024","2098","","MCO"
"UA","01/18/2024","2277","","TPA"
"UA","01/18/2024","2671","","SAT"
"UA","01/19/2024","0326","","SEA"
"UA","01/19/2024","0641","","BOS"
"UA","01/19/2024","0688","","BOS"
"UA","01/19/2024","1218","","SFO"
"UA","01/19/2024","1360","","RSW"
"UA","01/19/2024","1412","","CLT"
"UA","01/19/2024","1689","","LAX"
"UA","01/19/2024","2098","","MCO"
"UA","01/20/2024","0326","","SEA"
"UA","01/20/2024","1073","","MIA"
"UA","01/20/2024","1193","","IAH"
"UA","01/20/2024","1398","","DEN"
"UA","01/20/2024","1406","","RSW"
"UA","01/20/2024","1499","","MCO"
"UA","01/20/2024","1689","","LAX"
"UA","01/20/2024","1842","","DEN"
"UA","01/20/2024","1875","","LAS"
"UA","01/20/2024","1938","","PHX"
"UA","01/20/2024","2029","","SAN"
"UA","01/21/2024","0204","","SRQ"
"UA","01/21/2024","0326","","SEA"
"UA","01/21/2024","0641","","BOS"
"UA","01/21/2024","1218","","SFO"
"UA","01/21/2024","1398","","DEN"
"UA","01/21/2024","1499","","MCO"
"UA","01/21/2024","1689","","LAX"
"UA","01/21/2024","2253","","MSY"
"UA","01/21/2024","2303","","LAX"
"UA","01/22/2024","0326","","SEA"
"UA","01/22/2024","0641","","BOS"
"UA","01/22/2024","1086","","MIA"
"UA","01/22/2024","1110","","SFO"
"UA","01/22/2024","1398","","DEN"
"UA","01/22/2024","1406","","RSW"
"UA","01/22/2024","1689","","LAX"
"UA","01/22/2024","1938","","PHX"
"UA","01/22/2024","2303","","LAX"
"UA","01/23/2024","0326","","SEA"
"UA","01/23/2024","1110","","SFO"
"UA","01/23/2024","1218","","SFO"
"UA","01/23/2024","1398","","DEN"
"UA","01/23/2024","1689","","LAX"
"UA","01/23/2024","1842","","DEN"
"UA","01/23/2024","1938","","PHX"
"UA","01/23/2024","2098","","MCO"
"UA","01/23/2024","2671","","SAT"
"UA","01/24/2024","0326","","SEA"
"UA","01/24/2024","1110","","SFO"
"UA","01/24/2024","1406","","RSW"
"UA","01/24/2024","1938","","PHX"
"UA","01/24/2024","1979","","EWR"
"UA","01/24/2024","2098","","MCO"
"UA","01/24/2024","2187","","SAN"
"UA","01/24/2024","2671","","SAT"
