Detailed Statistics Diversion  
Origin Airport: Washington, DC: Washington Dulles International (IAD)
Airline: United Airlines Inc. (UA)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2024

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport
"UA","01/07/2024","2060","N494UA","BOS"
"UA","01/19/2024","0478","N23707","EYW"
"UA","01/26/2024","0345","N66056","HNL"
"UA","02/11/2024","1443","N16713","STT"
"UA","02/17/2024","0345","N69059","HNL"
"UA","02/18/2024","0562","N78501","FLL"
"UA","03/03/2024","1688","N57286","IAH"
"UA","03/17/2024","2253","N37466","MSY"
"UA","03/18/2024","0345","N67058","HNL"
"UA","03/22/2024","1335","N69806","LAS"
"UA","04/01/2024","2116","N480UA","DFW"
"UA","04/03/2024","0683","N78524","TPA"
"UA","04/16/2024","0562","N38417","FLL"
"UA","04/21/2024","1412","N26226","CLT"
"UA","04/22/2024","0562","N26232","FLL"
"UA","04/22/2024","2021","N77259","SJU"
"UA","04/24/2024","1193","N35236","IAH"
"UA","05/02/2024","2058","N45440","IAH"
"UA","05/04/2024","2074","N458UA","DEN"
"UA","05/06/2024","1738","N34455","LAX"
"UA","05/06/2024","2435","N12216","SMF"
"UA","05/07/2024","2435","N17229","SMF"
"UA","05/13/2024","1193","N17233","IAH"
"UA","05/18/2024","1322","N33209","RDU"
"UA","05/21/2024","1649","N16217","BOS"
"UA","05/23/2024","1382","N17564","EWR"
"UA","05/25/2024","2435","N440UA","SMF"
"UA","05/27/2024","1443","N12754","STT"
"UA","05/27/2024","2116","N24729","DFW"
"UA","06/04/2024","1521","N440UA","MSY"
"UA","06/06/2024","2291","N39475","MCO"
"UA","06/13/2024","1406","N66841","RSW"
"UA","06/16/2024","1140","N79541","TPA"
"UA","06/20/2024","1842","N37422","DEN"
"UA","07/12/2024","2277","N68836","TPA"
"UA","07/14/2024","1738","N66831","ORD"
"UA","07/15/2024","1938","N77552","PHX"
"UA","07/20/2024","1926","N38424","DEN"
"UA","07/20/2024","1943","N57868","DEN"
"UA","07/22/2024","2074","N17329","DEN"
"UA","07/24/2024","1873","N37325","BNA"
"UA","07/28/2024","0471","N37513","MCO"
"UA","07/29/2024","2496","N852UA","BNA"
"UA","08/02/2024","1927","N17557","SFO"
"UA","08/04/2024","2277","N37518","TPA"
"UA","08/05/2024","2348","N78524","ORD"
"UA","08/12/2024","1930","N37290","SAN"
"UA","08/17/2024","2081","N78285","ATL"
"UA","08/23/2024","0472","N38424","PDX"
"UA","09/01/2024","1322","N871UA","RDU"
"UA","09/12/2024","1140","N47570","TPA"
"UA","09/21/2024","1245","N37541","LAX"
"UA","09/21/2024","1519","N78866","LAX"
"UA","09/26/2024","1519","N57857","LAX"
"UA","10/05/2024","2275","N75428","IAH"
"UA","10/07/2024","1831","N212UA","SAN"
"UA","10/19/2024","1688","N68801","IAH"
"UA","11/04/2024","2169","N441UA","DFW"
"UA","11/05/2024","0315","N62849","SFO"
"UA","11/06/2024","1443","N47291","STT"
"UA","11/15/2024","1992","N37506","SFO"
"UA","11/25/2024","1930","N77525","SAN"
"UA","11/26/2024","1336","N13750","BDL"
"UA","12/01/2024","1412","N456UA","CLT"
"UA","12/13/2024","2303","N77571","LAX"
"UA","12/14/2024","2066","N57862","LAX"
"UA","12/18/2024","1831","N215UA","SAN"
"UA","12/19/2024","1831","N775UA","SAN"
"UA","12/22/2024","1964","N498UA","SEA"
"UA","12/26/2024","2314","N69888","DFW"
"UA","12/29/2024","0471","N66897","MCO"
"UA","12/29/2024","1412","N830UA","CLT"
"UA","12/30/2024","1858","N68805","SLC"
"UA","12/31/2024","1406","N33286","RSW"

 SOURCE: Bureau of Transportation Statistics
