Detailed Statistics Cancellation  
Origin Airport: Washington, DC: Washington Dulles International (IAD)
Airline: United Airlines Inc. (UA)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2025 and 2026

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"UA","01/05/2025","1858","","SLC"
"UA","01/05/2025","2382","","RDU"
"UA","01/05/2025","2435","","SMF"
"UA","01/06/2025","0326","","SEA"
"UA","01/06/2025","0381","","AUS"
"UA","01/06/2025","0408","","PWM"
"UA","01/06/2025","0493","","LAX"
"UA","01/06/2025","0641","","BOS"
"UA","01/06/2025","0688","","BOS"
"UA","01/06/2025","1073","","MIA"
"UA","01/06/2025","1095","","SFO"
"UA","01/06/2025","1257","","PHX"
"UA","01/06/2025","1366","","DEN"
"UA","01/06/2025","1437","","ORF"
"UA","01/06/2025","1469","","LAX"
"UA","01/06/2025","1524","","IAH"
"UA","01/06/2025","1657","","SFO"
"UA","01/06/2025","1668","","SAT"
"UA","01/06/2025","1710","","ORD"
"UA","01/06/2025","1786","","PHX"
"UA","01/06/2025","1825","","FLL"
"UA","01/06/2025","1938","","LAS"
"UA","01/06/2025","1997","","EWR"
"UA","01/06/2025","2021","N17565","SJU"
"UA","01/06/2025","2029","","SAN"
"UA","01/06/2025","2060","","BOS"
"UA","01/06/2025","2150","","PSP"
"UA","01/06/2025","2156","","BNA"
"UA","01/06/2025","2268","","MCO"
"UA","01/06/2025","2275","","IAH"
"UA","01/06/2025","2497","","ORD"
"UA","01/09/2025","2116","","DFW"
"UA","01/09/2025","2163","","DFW"
"UA","01/10/2025","1940","","ATL"
"UA","01/10/2025","2336","","BNA"
"UA","01/10/2025","2642","","ATL"
"UA","01/19/2025","0688","","BOS"
"UA","01/19/2025","0760","","EWR"
"UA","01/19/2025","1360","","BDL"
"UA","01/20/2025","0721","","MSY"
"UA","01/21/2025","0379","","MCO"
"UA","01/21/2025","0721","","MSY"
"UA","01/21/2025","0797","","IAH"
"UA","01/21/2025","1071","","JAX"
"UA","01/21/2025","1074","","IAH"
"UA","01/21/2025","1524","","IAH"
"UA","01/21/2025","1688","","IAH"
"UA","01/21/2025","2253","","MSY"
"UA","01/22/2025","0721","","MSY"
"UA","01/22/2025","1940","","ATL"
"UA","01/22/2025","2253","","MSY"
"UA","01/22/2025","2642","","ATL"
"UA","01/23/2025","2253","","MSY"
"UA","02/08/2025","0755","","BOS"
"UA","02/12/2025","0414","","BUF"
"UA","02/15/2025","0755","","BOS"
"UA","02/15/2025","2116","","DFW"
"UA","02/20/2025","2276","","LAX"
"UA","02/23/2025","2276","","LAX"
"UA","02/27/2025","0641","","BOS"
"UA","03/02/2025","2084","","JAX"
"UA","03/04/2025","2116","","DFW"
"UA","03/13/2025","1940","","ATL"
"UA","03/15/2025","0587","","ATL"
"UA","03/16/2025","1140","","TPA"
"UA","03/30/2025","1411","","AUS"
"UA","03/31/2025","2264","N27334","PDX"
"UA","04/03/2025","1630","","ORD"
"UA","04/05/2025","1762","","DEN"
"UA","04/12/2025","0780","","LAS"
"UA","04/21/2025","1757","","SFO"
"UA","04/27/2025","2054","","SAN"
"UA","05/02/2025","1672","","DEN"
"UA","05/02/2025","2275","N17306","IAH"
"UA","05/05/2025","1651","","EWR"
"UA","05/05/2025","2485","","RDU"
"UA","05/14/2025","2653","","ORF"
"UA","05/16/2025","1702","N211UA","SFO"
"UA","05/24/2025","0345","N69059","HNL"
"UA","05/30/2025","1869","","SAT"
"UA","05/30/2025","2382","","RDU"
"UA","05/30/2025","2410","N29717","SLC"
"UA","06/04/2025","0545","","AUS"
"UA","06/15/2025","0606","","IAH"
"UA","06/16/2025","2707","","DFW"
"UA","06/22/2025","1498","","CLE"
"UA","06/26/2025","0495","","DEN"
"UA","06/26/2025","1535","","IAH"
"UA","06/26/2025","2703","","IAH"
"UA","06/28/2025","0637","","AUS"
"UA","06/28/2025","1734","","SEA"
"UA","06/30/2025","2073","N37297","ANC"
"UA","07/01/2025","2241","","CLE"
"UA","07/01/2025","2276","","LAX"
"UA","07/01/2025","2331","","ORD"
"UA","07/01/2025","2366","","EWR"
"UA","07/03/2025","0454","","DEN"
"UA","07/03/2025","0659","N69888","ATL"
"UA","07/03/2025","1997","","EWR"
"UA","07/04/2025","2720","","LAX"
"UA","07/08/2025","2314","","DFW"
"UA","07/10/2025","2440","","PIT"
"UA","07/11/2025","0708","","ORD"
"UA","07/12/2025","1896","","TPA"
"UA","07/14/2025","1379","","FLL"
"UA","07/14/2025","1997","","EWR"
"UA","07/14/2025","2366","","EWR"
"UA","07/14/2025","2497","","ORD"
"UA","07/15/2025","0267","","PHX"
"UA","07/15/2025","2669","","EWR"
"UA","07/16/2025","0454","N38454","DEN"
"UA","07/16/2025","0716","","SEA"
"UA","07/16/2025","0755","","BOS"
"UA","07/16/2025","1997","","EWR"
"UA","07/16/2025","2294","","LAX"
"UA","07/16/2025","2703","","IAH"
"UA","07/20/2025","0683","","TPA"
"UA","07/23/2025","1757","","SFO"
"UA","07/27/2025","1071","","BNA"
"UA","07/27/2025","1757","","SFO"
"UA","07/28/2025","0379","","MCO"
"UA","07/28/2025","2366","N13110","EWR"
"UA","07/29/2025","1357","","RDU"
"UA","07/29/2025","2241","","CLE"
"UA","07/31/2025","0755","","BOS"
"UA","07/31/2025","2366","","EWR"
"UA","07/31/2025","2720","","LAX"
"UA","08/01/2025","2084","","JAX"
"UA","08/03/2025","2729","","SEA"
"UA","08/05/2025","2253","","MSY"
"UA","08/06/2025","0444","","BDL"
"UA","08/07/2025","1702","","SFO"
"UA","08/07/2025","2734","","LAX"
"UA","08/08/2025","2366","","EWR"
"UA","08/09/2025","1702","","SFO"
"UA","08/11/2025","2724","","AUS"
"UA","08/13/2025","1757","","SFO"
"UA","08/15/2025","0444","N828UA","BDL"
"UA","08/17/2025","1443","","STT"
"UA","08/17/2025","2116","","DFW"
"UA","08/18/2025","2497","","ORD"
"UA","08/19/2025","2614","","CLE"
"UA","08/20/2025","1587","","DEN"
"UA","08/25/2025","1738","N78009","ORD"
"UA","08/30/2025","1141","","AUS"
"UA","09/04/2025","1357","","RDU"
"UA","09/06/2025","1047","","BOS"
"UA","09/24/2025","0688","","BOS"
"UA","09/26/2025","2655","","LAX"
"UA","10/05/2025","1702","","SFO"
"UA","10/17/2025","1251","","RSW"
"UA","10/17/2025","1757","","SFO"
"UA","10/19/2025","1251","N27270","RSW"
"UA","10/26/2025","1366","","LAX"
"UA","10/30/2025","0755","","BOS"
"UA","11/06/2025","0688","","BOS"
"UA","11/06/2025","1685","","RDU"
"UA","11/06/2025","2276","","LAX"
"UA","11/09/2025","0368","","EWR"
"UA","11/09/2025","0379","","MCO"
"UA","11/09/2025","0688","","BOS"
"UA","11/09/2025","1997","","EWR"
"UA","11/10/2025","0267","","PHX"
"UA","11/10/2025","2005","","PBI"
"UA","11/15/2025","1757","","SFO"
"UA","11/28/2025","1434","","SFO"
"UA","11/29/2025","1738","","ORD"
"UA","11/29/2025","2331","","ORD"
"UA","11/29/2025","2634","","ORD"
"UA","12/04/2025","1688","","LAX"
"UA","12/14/2025","1872","N877UA","CHS"
"UA","12/19/2025","2276","","LAX"
"UA","01/03/2026","1328","","STT"
"UA","01/03/2026","1443","","STT"
"UA","01/03/2026","2021","","SJU"
"UA","01/04/2026","1813","","PSP"
"UA","01/10/2026","0684","","CHS"
"UA","01/16/2026","1734","","LAX"
"UA","01/18/2026","1858","","BNA"
"UA","01/24/2026","0769","","DFW"
"UA","01/24/2026","1322","","RDU"
"UA","01/24/2026","1370","","RDU"
"UA","01/24/2026","1869","","SAT"
"UA","01/24/2026","1997","","EWR"
"UA","01/24/2026","2264","","BNA"
"UA","01/24/2026","2337","","AUS"
"UA","01/25/2026","0251","","MSY"
"UA","01/25/2026","0345","","HNL"
"UA","01/25/2026","0367","","SFO"
"UA","01/25/2026","0379","N68805","MCO"
"UA","01/25/2026","0419","","DEN"
"UA","01/25/2026","0444","","BDL"
"UA","01/25/2026","0471","","ATL"
"UA","01/25/2026","0495","","DEN"
"UA","01/25/2026","0545","","AUS"
"UA","01/25/2026","0599","","DEN"
"UA","01/25/2026","0637","N17359","AUS"
"UA","01/25/2026","0641","N77430","BOS"
"UA","01/25/2026","0642","","PHX"
"UA","01/25/2026","0673","","BOS"
"UA","01/25/2026","0683","","TPA"
"UA","01/25/2026","0684","","CHS"
"UA","01/25/2026","0688","","BOS"
"UA","01/25/2026","0689","","MCO"
"UA","01/25/2026","0723","","MIA"
"UA","01/25/2026","0726","","PIT"
"UA","01/25/2026","0743","","MCO"
"UA","01/25/2026","0744","","PIT"
"UA","01/25/2026","0754","","DEN"
"UA","01/25/2026","0755","","BOS"
"UA","01/25/2026","0759","","DEN"
"UA","01/25/2026","0769","","DFW"
"UA","01/25/2026","0796","","SFO"
"UA","01/25/2026","1071","","JAX"
"UA","01/25/2026","1073","N79279","MIA"
"UA","01/25/2026","1095","","DEN"
"UA","01/25/2026","1102","","CMH"
"UA","01/25/2026","1129","","SFO"
"UA","01/25/2026","1140","","TPA"
"UA","01/25/2026","1147","N14530","SFO"
"UA","01/25/2026","1156","","PBI"
"UA","01/25/2026","1159","","SEA"
"UA","01/25/2026","1230","","EWR"
"UA","01/25/2026","1279","","BDL"
"UA","01/25/2026","1322","","RDU"
"UA","01/25/2026","1323","","LAS"
"UA","01/25/2026","1357","","RDU"
"UA","01/25/2026","1370","","RDU"
"UA","01/25/2026","1385","","LAX"
"UA","01/25/2026","1406","","RSW"
"UA","01/25/2026","1443","N17349","STT"
"UA","01/25/2026","1506","","IAH"
"UA","01/25/2026","1524","","IAH"
"UA","01/25/2026","1535","","IAH"
"UA","01/25/2026","1689","","LAX"
"UA","01/25/2026","1734","","LAX"
"UA","01/25/2026","1738","","ORD"
"UA","01/25/2026","1757","","SFO"
"UA","01/25/2026","1789","N13750","SAT"
"UA","01/25/2026","1825","N37474","FLL"
"UA","01/25/2026","1858","","BNA"
"UA","01/25/2026","1869","","SAT"
"UA","01/25/2026","1926","N68453","MCO"
"UA","01/25/2026","1930","N57409","SAN"
"UA","01/25/2026","1938","","PHX"
"UA","01/25/2026","1997","","EWR"
"UA","01/25/2026","1999","","EWR"
"UA","01/25/2026","2021","N27519","SJU"
"UA","01/25/2026","2025","","SJU"
"UA","01/25/2026","2032","","SFO"
"UA","01/25/2026","2054","","SAN"
"UA","01/25/2026","2064","","DEN"
"UA","01/25/2026","2065","","LAS"
"UA","01/25/2026","2081","","ATL"
"UA","01/25/2026","2084","","JAX"
"UA","01/25/2026","2116","","DFW"
"UA","01/25/2026","2150","","PSP"
"UA","01/25/2026","2156","","LAS"
"UA","01/25/2026","2163","","SAN"
"UA","01/25/2026","2206","","MCO"
"UA","01/25/2026","2217","","IAH"
"UA","01/25/2026","2241","","CLE"
"UA","01/25/2026","2253","","MSY"
"UA","01/25/2026","2264","","BNA"
"UA","01/25/2026","2268","","BDL"
"UA","01/25/2026","2276","","LAX"
"UA","01/25/2026","2277","","TPA"
"UA","01/25/2026","2294","","LAX"
"UA","01/25/2026","2302","","LAX"
"UA","01/25/2026","2331","","ORD"
"UA","01/25/2026","2337","","AUS"
"UA","01/25/2026","2410","","SLC"
"UA","01/25/2026","2435","","SMF"
"UA","01/25/2026","2463","","MCO"
"UA","01/25/2026","2497","","ORD"
"UA","01/25/2026","2639","","FLL"
"UA","01/25/2026","2669","","EWR"
"UA","01/25/2026","2739","","ATL"
"UA","01/25/2026","2862","","SFO"
"UA","01/26/2026","0345","","HNL"
"UA","01/26/2026","0545","","AUS"
"UA","01/26/2026","0641","","BOS"
"UA","01/26/2026","0673","","BOS"
"UA","01/26/2026","0688","","BOS"
"UA","01/26/2026","0796","","SFO"
"UA","01/26/2026","1073","","MIA"
"UA","01/26/2026","1147","","SFO"
"UA","01/26/2026","1279","","BDL"
"UA","01/26/2026","1323","","LAS"
"UA","01/26/2026","1524","","IAH"
"UA","01/26/2026","1689","","LAX"
"UA","01/26/2026","1775","","ORD"
"UA","01/26/2026","1938","","PHX"
"UA","01/26/2026","1999","","EWR"
"UA","01/26/2026","2032","","SFO"
"UA","01/26/2026","2064","","DEN"
"UA","01/26/2026","2084","","JAX"
"UA","01/26/2026","2116","","DFW"
"UA","01/26/2026","2471","","DFW"
"UA","01/26/2026","2669","","EWR"
"UA","01/27/2026","2669","","EWR"
"UA","01/31/2026","0684","","CHS"
"UA","01/31/2026","1370","","RDU"
"UA","02/01/2026","1858","","BNA"
"UA","02/16/2026","0649","","BNA"
"UA","02/16/2026","1357","","RDU"
"UA","02/19/2026","2668","","DEN"
"UA","02/22/2026","0444","","BDL"
"UA","02/22/2026","0688","","BOS"
"UA","02/22/2026","0755","","BOS"
"UA","02/22/2026","1460","","EWR"
"UA","02/22/2026","1808","","PIT"
"UA","02/23/2026","0444","","BDL"
"UA","02/23/2026","0641","","BOS"
"UA","02/23/2026","0688","","BOS"
"UA","02/23/2026","0755","","BOS"
"UA","02/23/2026","1183","","BOS"
"UA","02/23/2026","1257","","BDL"
"UA","02/23/2026","1279","","BDL"
"UA","02/23/2026","1460","","EWR"
"UA","02/23/2026","1831","","EWR"
"UA","02/23/2026","1999","","EWR"
"UA","02/23/2026","2669","","EWR"
"UA","02/24/2026","0641","","BOS"
"UA","02/24/2026","0688","","BOS"
"UA","02/24/2026","1999","","EWR"
"UA","02/24/2026","2669","","EWR"
"UA","03/02/2026","0336","N68817","RDU"
"UA","03/06/2026","0587","","DEN"
"UA","03/06/2026","2497","","ORD"
"UA","03/07/2026","0279","","ORD"
"UA","03/07/2026","1323","","LAS"
"UA","03/08/2026","1535","","IAH"
"UA","03/08/2026","1757","","SFO"
"UA","03/10/2026","1738","","ORD"
"UA","03/11/2026","1997","","EWR"
"UA","03/12/2026","1831","","EWR"
"UA","03/13/2026","0688","","BOS"
"UA","03/13/2026","1969","N802UA","BDL"
"UA","03/15/2026","1738","","ORD"
"UA","03/15/2026","1757","","SFO"
"UA","03/15/2026","2463","","MCO"
"UA","03/16/2026","0367","","SFO"
"UA","03/16/2026","0379","","MCO"
"UA","03/16/2026","0688","","BOS"
"UA","03/16/2026","0689","","MCO"
"UA","03/16/2026","1399","","BTV"
"UA","03/16/2026","1930","","SAN"
"UA","03/16/2026","2213","","IAH"
"UA","03/16/2026","2639","","FLL"
"UA","03/16/2026","2668","","PBI"
"UA","03/17/2026","0453","","PHX"
"UA","03/17/2026","2668","","PBI"
"UA","03/23/2026","1757","","SFO"
"UA","03/26/2026","0315","","ORF"
"UA","04/09/2026","1789","","SAT"
"UA","04/19/2026","2276","","LAX"

 SOURCE: Bureau of Transportation Statistics
