Detailed Statistics Diversion  
Origin Airport: Washington, DC: Washington Dulles International (IAD)
Airline: United Airlines Inc. (UA)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2025 and 2026

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport
"UA","01/01/2025","1016","N47293","BTV"
"UA","01/02/2025","1831","N772UA","SAN"
"UA","01/05/2025","1344","N841UA","IAH"
"UA","01/05/2025","1738","N13113","ORD"
"UA","01/05/2025","2314","N27733","DFW"
"UA","01/09/2025","2314","N490UA","DFW"
"UA","01/19/2025","2463","N57862","DEN"
"UA","02/06/2025","1218","N62884","DEN"
"UA","02/13/2025","2241","N17753","CLE"
"UA","02/15/2025","1469","N478UA","HDN"
"UA","02/16/2025","1795","N34460","SFO"
"UA","02/24/2025","1620","N29717","EYW"
"UA","02/26/2025","1580","N47533","DEN"
"UA","03/11/2025","1938","N17564","PHX"
"UA","03/18/2025","2410","N37514","DEN"
"UA","03/28/2025","0743","N433UA","ORD"
"UA","04/02/2025","2314","N16701","DFW"
"UA","04/02/2025","2862","N69819","SFO"
"UA","04/19/2025","1236","N69810","DEN"
"UA","04/24/2025","1236","N75435","DEN"
"UA","04/24/2025","1360","N75425","IAH"
"UA","04/28/2025","2639","N37471","EWR"
"UA","04/30/2025","2054","N771UA","SAN"
"UA","04/30/2025","2314","N29717","DFW"
"UA","04/30/2025","2496","N69839","SFO"
"UA","05/06/2025","2314","N39726","DFW"
"UA","05/11/2025","2410","N69833","SLC"
"UA","05/14/2025","2485","N810UA","RDU"
"UA","05/19/2025","2382","N13716","RDU"
"UA","05/20/2025","1873","N37257","BNA"
"UA","05/20/2025","2059","N34131","LAS"
"UA","05/22/2025","2169","N17752","DFW"
"UA","05/26/2025","2275","N37308","IAH"
"UA","05/30/2025","2073","N47275","ANC"
"UA","05/31/2025","0780","N26210","LAS"
"UA","06/05/2025","2366","N76514","CLE"
"UA","06/11/2025","0549","N62883","TPA"
"UA","06/14/2025","0326","N37427","SEA"
"UA","06/15/2025","0545","N17329","AUS"
"UA","06/17/2025","1071","N37367","JAX"
"UA","06/21/2025","1734","N14242","ATL"
"UA","06/25/2025","2707","N17753","DFW"
"UA","06/27/2025","2081","N15710","ATL"
"UA","06/29/2025","2277","N17322","TPA"
"UA","07/06/2025","0454","N63899","DEN"
"UA","07/06/2025","1728","N77587","DEN"
"UA","07/06/2025","2718","N37413","DEN"
"UA","07/07/2025","2098","N889UA","BNA"
"UA","07/10/2025","1587","N14517","DEN"
"UA","07/12/2025","0326","N66808","SEA"
"UA","07/14/2025","1012","N37365","TPA"
"UA","07/16/2025","1669","N57439","DEN"
"UA","07/18/2025","2073","N17329","ANC"
"UA","07/20/2025","0419","N57855","DEN"
"UA","07/22/2025","0367","N38451","SFO"
"UA","07/22/2025","2098","N4888U","BNA"
"UA","07/24/2025","2718","N53442","DEN"
"UA","07/25/2025","2718","N38451","DEN"
"UA","07/27/2025","2669","N47357","EWR"
"UA","08/02/2025","1669","N61886","DEN"
"UA","08/10/2025","1587","N24519","DEN"
"UA","08/12/2025","2331","N17122","ORD"
"UA","08/14/2025","1669","N69888","DEN"
"UA","08/14/2025","2732","N75435","DEN"
"UA","08/15/2025","1669","N66814","DEN"
"UA","08/16/2025","1057","N73445","ORD"
"UA","08/17/2025","1026","N57862","DEN"
"UA","08/19/2025","2277","N37305","TPA"
"UA","08/20/2025","2081","N808UA","ATL"
"UA","08/23/2025","0379","N68842","MCO"
"UA","08/28/2025","2747","N67827","LAS"
"UA","08/30/2025","2314","N817UA","DFW"
"UA","09/11/2025","0700","N75428","DEN"
"UA","09/14/2025","0379","N37422","MCO"
"UA","09/17/2025","2054","N36447","SAN"
"UA","09/18/2025","1930","N37530","SAN"
"UA","09/21/2025","2116","N878UA","DFW"
"UA","10/13/2025","1357","N844UA","RDU"
"UA","10/18/2025","1251","N38467","RSW"
"UA","10/28/2025","2054","N68801","SAN"
"UA","10/29/2025","1357","N64844","SAN"
"UA","11/08/2025","1734","N27256","PIT"
"UA","11/10/2025","2276","N24990","LAX"
"UA","11/20/2025","0330","N451UA","DFW"
"UA","11/20/2025","2471","N840UA","DFW"
"UA","11/28/2025","2116","N16701","DFW"
"UA","11/30/2025","1074","N17753","AUS"
"UA","12/09/2025","1930","N37536","SAN"
"UA","12/14/2025","1757","N773UA","SFO"
"UA","12/19/2025","2107","N14517","DEN"
"UA","12/20/2025","2107","N24508","DEN"
"UA","12/27/2025","0637","N17244","HDN"
"UA","12/27/2025","0657","N13750","JAC"
"UA","12/28/2025","2410","N26232","SLC"
"UA","12/29/2025","1366","N27253","SEA"
"UA","01/04/2026","2276","N17963","LAX"
"UA","01/17/2026","1930","N37560","SAN"
"UA","01/19/2026","1129","N17417","SFO"
"UA","01/31/2026","2463","N61898","MCO"
"UA","02/03/2026","2241","N889UA","CLE"
"UA","02/05/2026","1825","N69816","FLL"
"UA","02/16/2026","1219","N816UA","CMH"
"UA","02/21/2026","0635","N68802","PBI"
"UA","03/04/2026","2116","N78540","DFW"
"UA","03/06/2026","1865","N24513","DEN"
"UA","03/13/2026","0345","N59053","HNL"
"UA","03/13/2026","1303","N77538","SEA"
"UA","03/16/2026","0444","N77538","BDL"
"UA","03/16/2026","1926","N36472","MCO"
"UA","03/16/2026","2206","N61882","MCO"
"UA","03/22/2026","0336","N1902U","CVG"
"UA","03/26/2026","1873","N449UA","CLE"
"UA","03/26/2026","2497","N24505","ORD"
"UA","03/29/2026","2025","N27520","SJU"
"UA","03/30/2026","1738","N37307","ORD"
"UA","04/05/2026","0345","N76054","HNL"
"UA","04/05/2026","0797","N63890","LAX"
"UA","04/05/2026","1106","N38727","ABQ"
"UA","04/07/2026","2206","N17594","MCO"
"UA","04/09/2026","0431","N75436","DEN"
"UA","04/24/2026","1825","N68453","FLL"
"UA","04/29/2026","1865","N14523","DEN"

 SOURCE: Bureau of Transportation Statistics
